TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,56881,ANIMACY,human
Lemma,56882,ANIMACY,human
Lemma,56883,ANIMACY,human
Lemma,56884,ANIMACY,human
Lemma,56885,ANIMACY,human
Lemma,56886,ANIMACY,human
Lemma,56887,ANIMACY,human
Lemma,56888,ANIMACY,human
Lemma,56889,ANIMACY,human
Lemma,56890,ANIMACY,human
Lemma,56891,ANIMACY,human
Lemma,56892,ANIMACY,human
Lemma,56893,ANIMACY,human
Lemma,56894,ANIMACY,human
Lemma,56895,ANIMACY,human
Lemma,56896,ANIMACY,human
Lemma,56897,ANIMACY,human
Lemma,56898,ANIMACY,human
Lemma,56899,ANIMACY,human
Lemma,56924,ANIMACY,place
Lemma,57006,ANIMACY,place
Lemma,57034,ANIMACY,human
Lemma,57036,ANIMACY,human
Lemma,57038,ANIMACY,place
Lemma,57082,ANIMACY,human
Lemma,57093,ANIMACY,human
Lemma,57110,ANIMACY,place
Lemma,57111,ANIMACY,place
Lemma,57123,ANIMACY,place
Lemma,57131,ANIMACY,human
Lemma,57132,ANIMACY,human
Lemma,57133,ANIMACY,human
Lemma,57134,ANIMACY,human
Lemma,57135,ANIMACY,human
Lemma,57136,ANIMACY,human
Lemma,57137,ANIMACY,human
Lemma,57139,ANIMACY,human
Lemma,57142,ANIMACY,human
Lemma,57143,ANIMACY,human
Lemma,57145,ANIMACY,human
Lemma,57148,ANIMACY,human
Lemma,57150,ANIMACY,human
Lemma,57154,ANIMACY,human
Lemma,57155,ANIMACY,human
Lemma,57156,ANIMACY,human
Lemma,57157,ANIMACY,human
Lemma,57158,ANIMACY,human
Lemma,57159,ANIMACY,human
Lemma,57160,ANIMACY,human
Lemma,57161,ANIMACY,human
Lemma,57166,ANIMACY,human
Lemma,57178,ANIMACY,place
Lemma,57182,ANIMACY,place
Lemma,57185,ANIMACY,human
Lemma,57221,ANIMACY,place
Lemma,57335,ANIMACY,human
Lemma,57362,ANIMACY,human
Lemma,57462,ANIMACY,human
Lemma,57488,ANIMACY,place
Lemma,57502,ANIMACY,human
Lemma,57961,ANIMACY,human
Lemma,57981,ANIMACY,human
Lemma,57987,ANIMACY,human
Lemma,57995,ANIMACY,human
Lemma,57996,ANIMACY,human
Lemma,57997,ANIMACY,human
Lemma,57999,ANIMACY,human
Lemma,58000,ANIMACY,human
Lemma,58001,ANIMACY,human
Lemma,58004,ANIMACY,place
Lemma,58005,ANIMACY,place
Lemma,58011,ANIMACY,place
Lemma,58012,ANIMACY,place
Lemma,58025,ANIMACY,human
Lemma,58026,ANIMACY,place
Lemma,58030,ANIMACY,human
Lemma,58031,ANIMACY,place
Lemma,58049,ANIMACY,place
Lemma,58063,ANIMACY,human
Lemma,58064,ANIMACY,human
Lemma,58081,ANIMACY,human
Lemma,58112,ANIMACY,place
Lemma,58114,ANIMACY,human
Lemma,58118,ANIMACY,human
Lemma,58132,ANIMACY,place
Lemma,58136,ANIMACY,place
Lemma,58144,ANIMACY,human
Lemma,58156,ANIMACY,human
Lemma,58158,ANIMACY,place
Lemma,58159,ANIMACY,place
Lemma,58160,ANIMACY,human
Lemma,58161,ANIMACY,place
Lemma,58162,ANIMACY,place
Lemma,58164,ANIMACY,human
Lemma,58166,ANIMACY,place
Lemma,58167,ANIMACY,human
Lemma,58168,ANIMACY,place
Lemma,58172,ANIMACY,place
Lemma,58173,ANIMACY,place
Lemma,58178,ANIMACY,place
Lemma,58179,ANIMACY,place
Lemma,58213,ANIMACY,human
Lemma,58366,ANIMACY,place
Lemma,58367,ANIMACY,place
Lemma,58368,ANIMACY,place
Lemma,58376,ANIMACY,human
Lemma,58403,ANIMACY,human
Lemma,58411,ANIMACY,human
Lemma,58470,ANIMACY,human
Lemma,58471,ANIMACY,human
Lemma,58472,ANIMACY,human
Lemma,58475,ANIMACY,place
Lemma,58478,ANIMACY,place
Lemma,58482,ANIMACY,human
Lemma,58483,ANIMACY,human
Lemma,58485,ANIMACY,place
Lemma,58486,ANIMACY,human
Lemma,58552,ANIMACY,human
Lemma,58556,ANIMACY,place
Lemma,58562,ANIMACY,place
Lemma,58569,ANIMACY,human
Lemma,58570,ANIMACY,human
Lemma,58571,ANIMACY,human
Lemma,58691,ANIMACY,place
Lemma,58693,ANIMACY,place
Lemma,58694,ANIMACY,place
Lemma,58697,ANIMACY,place
Lemma,58700,ANIMACY,human
Lemma,58701,ANIMACY,human
Lemma,58725,ANIMACY,place
Lemma,59568,ANIMACY,human
Lemma,59569,ANIMACY,human
Lemma,59591,ANIMACY,human
Lemma,59598,ANIMACY,place
Lemma,59599,ANIMACY,place
