ID,HEAD_ID,RELATION_TAG,INFORMATION_STATUS_TAG,ANTECEDENT_ID,ANTECEDENT_HEAD_ID,ANTECEDENT_RELATION_TAG
103352,,,info_unannotatable,,,
103355,,,old,103341,,
103359,,,old,103355,,
103364,,,old,103359,,
103367,,,acc_gen,,,
103369,,,acc_gen,,,
103374,,,non_spec_old,,103361,sub
103377,,,old,,103373,sub
103383,,,info_unannotatable,,,
103385,,,acc_inf,103273,,
103389,,,new,,,
103390,,,old,,103387,sub
103394,,,info_unannotatable,,,
103395,,,old,103390,,
103399,,,acc_inf,,103393,sub
103404,,,old,,103398,sub
103409,,,old,,103402,sub
103413,,,info_unannotatable,,,
103414,,,info_unannotatable,,,
103416,,,non_spec,,,
103421,,,old,,103414,sub
103425,,,new,,,
103427,,,acc_inf,103421,,
103431,,,acc_inf,103421,,
103434,,,info_unannotatable,,,
103436,,,acc_inf,103421,,
103440,,,old,103431,,
103444,,,old,103440,,
103445,,,non_spec,,,
103451,,,acc_gen,,,
103454,,,acc_inf,103421,,
103456,,,acc_inf,103421,,
103458,,,acc_inf,103421,,
103460,,,acc_inf,103421,,
103462,,,acc_inf,103421,,
103464,,,acc_inf,103421,,
103469,,,acc_inf,103421,,
103471,,,acc_inf,103421,,
103475,,,acc_inf,103421,,
103481,,,old,,103443,sub
103485,,,info_unannotatable,,,
103486,,,new,,,
103491,,,new,,,
103496,,,old,,103484,sub
103498,,,non_spec,,,
103504,,,new,,,
103505,,,old,,103484,sub
103508,,,old,103505,,
103517,,,new,,,
103519,,,info_unannotatable,,,
103520,,,acc_gen,,,
103521,,,info_unannotatable,,,
103524,,,acc_gen,,,
103531,,,old,103524,,
103533,,,info_unannotatable,,,
103536,,,non_spec,,,
103540,,,old,103517,,
103542,,,non_spec,,,
103544,,,old,103540,,
103548,,,acc_gen,,,
103549,,,old,103548,,
103554,,,non_spec,,,
103556,,,non_spec_old,103554,,
103563,,,non_spec_old,103556,,
103564,,,info_unannotatable,,,
103568,,,non_spec,,,
103570,,,non_spec_old,103568,,
103576,,,non_spec_old,103570,,
103577,,,info_unannotatable,,,
103583,,,acc_gen,,,
103585,,,info_unannotatable,,,
103586,,,old,103583,,
103594,,,new,,,
103600,,,non_spec,,,
103601,,,info_unannotatable,,,
103603,,,non_spec,,,
103605,,,non_spec,,,
103608,,,non_spec,,,
103609,,,non_spec_old,103605,,
103616,,,non_spec_old,103609,,
103622,,,non_spec_old,103603,,
103623,,,non_spec_old,103616,,
103626,,,info_unannotatable,,,
103628,,,old,103544,,
103630,,,quant,,,
103633,,,kind,,,
103635,,,info_unannotatable,,,
103640,,,info_unannotatable,,,
103646,,,info_unannotatable,,,
103649,,,quant,,,
103650,,,info_unannotatable,,,
103652,,,acc_gen,,,
103654,,,info_unannotatable,,,
103658,,,non_spec,,,
103661,,,info_unannotatable,,,
103667,,,non_spec,,,
103671,,,new,,,
103678,,,new,,,
103679,,,old,,103673,sub
103682,,,new,,,
103683,,,old,103679,,
103686,,,info_unannotatable,,,
103687,,,info_unannotatable,,,
103689,,,info_unannotatable,,,
103690,,,old,103683,,
103692,,,old,103690,,
103696,,,info_unannotatable,,,
103697,,,old,103692,,
103698,,,new,,,
103702,,,old,103697,,
103704,,,info_unannotatable,,,
103706,,,acc_sit,103678,,
103707,,,old,103702,,
103710,,,acc_sit,103682,,
103711,,,old,103707,,
103714,,,acc_sit,103682,,
103715,,,old,103711,,
103718,,,old,103715,,
103722,,,old,,103701,sub
103725,,,non_spec,,,
103728,,,new,,,
103729,,,old,,103723,sub
103732,,,new,,,
103733,,,old,103729,,
103738,,,info_unannotatable,,,
103739,,,old,103729,,
103741,,,old,103722,,
103746,,,old,103728,,
103747,,,old,,103742,sub
103750,,,old,103732,,
103751,,,old,103747,,
103755,,,info_unannotatable,,,
103757,,,new,,,
103759,,,acc_gen,,,
103761,,,quant,,,
103762,,,info_unannotatable,,,
103763,,,old,103751,,
103765,,,info_unannotatable,,,
103767,,,info_unannotatable,,,
103776,,,old_inact,,,
103780,,,info_unannotatable,,,
103781,,,old,,103772,sub
103782,,,new,,,
103786,,,old,103781,,
103787,,,info_unannotatable,,,
103788,,,new,,,
103791,,,info_unannotatable,,,
103793,,,old,103776,,
103796,,,info_unannotatable,,,
103798,,,old,103782,,
103801,,,old,103793,,
103804,,,acc_inf,103801,,
103809,,,old,103798,,
103811,,,info_unannotatable,,,
103812,,,quant,,,
103816,,,old,103809,,
103819,,,acc_inf,103808,,
103820,,,old,,103815,sub
103824,,,info_unannotatable,,,
103827,,,new,,,
103834,,,acc_inf,103828,,
103835,,,acc_inf,103834,,
103838,,,info_unannotatable,,,
103840,,,new,,,
103845,,,non_spec,,,
103848,,,old,103835,,
103851,,,acc_inf,103834,,
103853,,,info_unannotatable,,,
103855,,,new,,,
103860,,,quant,,,
103861,,,info_unannotatable,,,
103869,,,info_unannotatable,,,
103870,,,info_unannotatable,,,
103871,,,non_spec_old,103860,,
103877,,,acc_gen,,,
103885,,,info_unannotatable,,,
103886,,,non_spec,,,
103890,,,acc_inf,103834,,
103892,,,info_unannotatable,,,
103894,,,new,,,
103899,,,old,103894,,
103902,,,old,103890,,
103905,,,non_spec,,,
103910,,,acc_inf,103834,,
103912,,,info_unannotatable,,,
103914,,,acc_inf,103834,,
103916,,,info_unannotatable,,,
103920,,,non_spec,,,
103927,,,info_unannotatable,,,
103928,,,info_unannotatable,,,
103929,,,info_unannotatable,,,
103930,,,info_unannotatable,,,
103931,,,info_unannotatable,,,
103933,,,info_unannotatable,,,
103934,,,info_unannotatable,,,
103939,,,info_unannotatable,,,
103940,,,quant,,,
103941,,,non_spec,,,
103949,,,info_unannotatable,,,
103950,,,info_unannotatable,,,
103953,,,old,,103948,sub
103955,,,new,,,
103956,,,old,103953,,
103959,,,old_inact,,,
103961,,,old,103811,,
103965,,,old,103955,,
103967,,,old,103965,,
103969,,,new,,,
103970,,,info_unannotatable,,,
103972,,,acc_gen,,,
103974,,,acc_gen,,,
103976,,,info_unannotatable,,,
103979,,,old,,103822,sub
103981,,,non_spec,,,
103982,,,quant,,,
103986,,,info_unannotatable,,,
103987,,,info_unannotatable,,,
103990,,,info_unannotatable,,,
104003,,,old,,104000,sub
104007,,,old,103967,,
104012,,,old,103926,,
104013,,,info_unannotatable,,,
104017,,,info_unannotatable,,,
104019,,,quant,,,
104023,,,old,,103834,sub
104025,,,acc_gen,,,
104028,,,acc_sit,,,
104032,,,old_inact,,,
104034,,,old_inact,,,
104038,,,old,104025,,
104043,,,info_unannotatable,,,
104046,,,acc_gen,,,
104050,,,old,,104042,obj
104052,,,info_unannotatable,,,
104054,,,old,,104042,sub
104057,,,acc_sit,,,
104061,,,info_unannotatable,,,
104063,,,old_inact,,,
104064,,,old_inact,,,
104066,,,info_unannotatable,,,
104068,,,info_unannotatable,,,
104070,,,old,104050,,
104073,,,info_unannotatable,,,
104075,,,old,104070,,
104080,,,non_spec_old,103886,,
104082,,,old,,104079,sub
104084,,,info_unannotatable,,,
104089,,,non_spec,,,
104090,,,info_unannotatable,,,
104091,,,non_spec,,,
104094,,,old,104075,,
104099,,,info_unannotatable,,,
104104,,,old,103899,,
104105,,,old,,103907,sub
104107,,,old,104105,,
104111,,,old,104094,,
104112,,,info_unannotatable,,,
104116,,,new,,,
104118,,,kind,,,
104119,,,info_unannotatable,,,
104121,,,new,,,
104123,,,info_unannotatable,,,
104126,,,info_unannotatable,,,
104128,,,acc_inf,104123,,
104129,,,new,,,
104133,,,old,104111,,
104140,,,acc_sit,,,
104143,,,info_unannotatable,,,
104145,,,old_inact,,,
104147,,,info_unannotatable,,,
104148,,,old_inact,,,
104150,,,info_unannotatable,,,
104153,,,old,104133,,
104158,,,info_unannotatable,,,
104159,,,old_inact,,,
104161,,,info_unannotatable,,,
104162,,,old_inact,,,
104164,,,info_unannotatable,,,
104165,,,old_inact,,,
104169,,,old,104007,,
104174,,,kind,,,
104176,,,info_unannotatable,,,
104178,,,non_spec,,,
104180,,,info_unannotatable,,,
104181,,,info_unannotatable,,,
104183,,,non_spec,,,
104187,,,info_unannotatable,,,
104189,,,non_spec,,,
104195,,,info_unannotatable,,,
104196,,,non_spec,,,
104205,,,non_spec,,,
104210,,,info_unannotatable,,,
104211,,,info_unannotatable,,,
104214,,,non_spec,,,
104216,,,non_spec,,,
104222,,,old,104169,,
104225,,,info_unannotatable,,,
104226,,,non_spec,,,
104230,,,non_spec,,,
104231,,,non_spec_old,,,
104233,,,old,,104231,sub
104236,,,old,104233,,
104238,,,info_unannotatable,,,
104240,,,info_unannotatable,,,
104243,,,quant,,,
104246,,,info_unannotatable,,,
104247,,,info_unannotatable,,,
104248,,,info_unannotatable,,,
104251,,,info_unannotatable,,,
104252,,,quant,,,
104254,,,info_unannotatable,,,
104255,,,quant,,,
104263,,,acc_gen,,,
104265,,,acc_gen,,,
104268,,,non_spec,,,
104271,,,non_spec_inf,104268,,
104272,,,info_unannotatable,,,
104274,,,non_spec_inf,104268,,
104280,,,info_unannotatable,,,
104282,,,info_unannotatable,,,
104286,,,non_spec_old,104271,,
104293,,,non_spec_old,,104279,sub
104297,,,non_spec_old,104274,,
104301,,,non_spec,,,
104304,,,non_spec,,,
104308,,,non_spec,,,
104311,,,non_spec_old,104304,,
104317,,,non_spec_inf,104308,,
104322,,,non_spec_inf,,104320,sub
104327,,,acc_gen,,,
104335,,,old,104263,,
104337,,,old,104265,,
104341,,,info_unannotatable,,,
104342,,,old,104335,,
104343,,,non_spec,,,
104347,,,non_spec,,,
104348,,,info_unannotatable,,,
104350,,,info_unannotatable,,,
104353,,,info_unannotatable,,,
104355,,,acc_gen,,,
104359,,,info_unannotatable,,,
104361,,,quant,,,
104363,,,info_unannotatable,,,
104365,,,acc_gen,,,
104375,,,info_unannotatable,,,
104377,,,quant,,,
104381,,,non_spec,,,
104388,,,non_spec,,,
104389,,,non_spec_old,,104380,sub
104391,,,non_spec,,,
104393,,,acc_gen,,,
104397,,,info_unannotatable,,,
104398,,,quant,,,
104401,,,old,104222,,
104403,,,old_inact,,,
104411,,,non_spec,,,
104414,,,old,,104406,sub
104417,,,info_unannotatable,,,
104421,,,old_inact,,,
104423,,,quant,,,
104427,,,old,104421,,
104429,,,info_unannotatable,,,
104431,,,old,,,
104432,,,info_unannotatable,,,
104436,,,info_unannotatable,,,
104438,,,acc_sit,,,
104443,,,old_inact,,,
104445,,,old,,104426,sub
104450,,,old_inact,,,
104453,,,info_unannotatable,,,
104454,,,quant,,,
104457,,,old,104450,,
104461,,,new,,,
104463,,,info_unannotatable,,,
104467,,,new,,,
104469,,,info_unannotatable,,,
104471,,,old,104450,,
104477,,,old,104471,,
104481,,,old,,104447,sub
104484,,,acc_inf,104477,,
104487,,,new,,,
104492,,,old,104481,,
104495,,,old,104492,,
104497,,,old,104495,,
104501,,,old,104497,,
104509,,,old,104463,,
104513,,,old_inact,,,
104522,,,old,104509,,
104526,,,new,,,
104531,,,old,,104494,sub
104533,,,info_unannotatable,,,
104534,,,info_unannotatable,,,
104541,,,non_spec,,,
104545,,,info_unannotatable,,,
104550,,,info_unannotatable,,,
104551,,,old,,104549,sub
104553,,,non_spec,,,
104555,,,acc_sit,,,
104561,,,old,104522,,
104562,,,info_unannotatable,,,
104564,,,old,104513,,
104565,,,old,104555,,
104572,,,new,,,
104574,,,old,104564,,
104575,,,info_unannotatable,,,
104577,,,acc_gen,,,
104579,,,info_unannotatable,,,
104583,,,old,,104569,sub
104584,,,info_unannotatable,,,
104586,,,old_inact,,,
104590,,,old,104583,,
104591,,,info_unannotatable,,,
104593,,,acc_inf,,,
104594,,,new,,,
104596,,,new,,,
104599,,,info_unannotatable,,,
104601,,,acc_inf,104594,,
104603,,,info_unannotatable,,,
104605,,,old,104593,,
104609,,,non_spec,,,
104611,,,non_spec,,,
104613,,,old,104594,,
104618,,,old,104613,,
104620,,,non_spec,,,
104622,,,non_spec,,,
104623,,,info_unannotatable,,,
104624,,,info_unannotatable,,,
104625,,,info_unannotatable,,,
104627,,,old,104618,,
104629,,,non_spec_old,104622,,
104632,,,non_spec_old,104620,,
104633,,,info_unannotatable,,,
104636,,,non_spec,,,
104638,,,old,104627,,
104643,,,info_unannotatable,,,
104645,,,info_unannotatable,,,
104648,,,old,104605,,
104652,,,acc_inf,104577,,
104657,,,old,,104653,sub
104658,,,non_spec,,,
104663,,,old,104590,,
104664,,,info_unannotatable,,,
104665,,,info_unannotatable,,,
104669,,,old,104663,,
104673,,,info_unannotatable,,,
104677,,,non_spec,,,
104678,,,old,,104675,sub
104679,,,info_unannotatable,,,
104680,,,old,104669,,
104682,,,old,104680,,
104683,,,info_unannotatable,,,
104685,,,acc_gen,,,
104687,,,info_unannotatable,,,
104690,,,old,104682,,
104692,,,old,104685,,
104695,,,old,,104689,sub
104700,,,old,104695,,
104704,,,old,,104702,sub
104706,,,info_unannotatable,,,
104707,,,info_unannotatable,,,
104709,,,old,104700,,
104713,,,old,104704,,
104715,,,non_spec,,,
104716,,,acc_inf,104713,,
104717,,,old,104713,,
